IDOrder,Status,OrderedDate,ConfirmDate,DeliveryDate,DeliveredDate,TotalMoney,TotalAmount,IDMember,Address,PhoneNumber,Email,FullName,Notes,IDZipCode,IDShipper
1,4,2019-09-08 22:15:00,2019-09-09 01:13:00,2019-09-09 20:48:00,2019-09-12 07:37:00,4700000,1,296,"Ouargla, Salzburg, Al Ḩadd",0984429047,tdchuong@gmail.com,Nguyễn Xuân Hoàng,Giao nhanh nha anh !,890,2
2,4,2019-11-12 03:32:00,2019-11-12 05:33:00,2019-11-12 22:52:00,2019-11-14 01:19:00,5560000,2,169,"Anatolik  Makedon a kai Thr ki, Praha, Hlavn  me_to, Las Piedras",0984429047,bay@lamthinhphat.com,Nguyễn Đức Khoa,Giao nhanh nha anh !,1455,2
3,4,2020-01-13 05:06:00,2020-01-13 08:48:00,2020-01-14 01:38:00,2020-01-15 07:01:00,4985500,1,172,"Phường 04, Quận 3, Hồ Chí Minh",0984429047,quocphu@dntbinhduong.vn,Trương Thanh Vương,Giao nhanh nha anh !,25,1
4,4,2019-09-06 07:25:00,2019-09-06 09:08:00,2019-09-06 20:42:00,2019-09-08 07:14:00,1610000,1,226,"Quảng Tiến, Huyện Thống Nhất, Đồng Nai",0984429047,thienhoa@hcm.vnn.vn,Đàng Văn Vĩnh,Giao nhanh nha anh !,585,7
5,4,2018-06-23 19:13:00,2018-06-23 23:13:00,2018-06-24 11:46:00,2018-06-25 09:03:00,1610000,1,39,"Barnsley, Saskatchewan, Amadora",0984429047,luxendinh@luxen.vn,Võ Tuấn Khoa,Giao nhanh nha anh !,1213,9
6,4,2019-08-17 18:45:00,2019-08-17 20:27:00,2019-08-18 14:28:00,2019-08-19 16:10:00,18590000,4,221,"Hartlepool, Lobatse, Saint George",0984429047,tranvanhung70@gmail.com,Trần Hoàng Hiệp,Giao nhanh nha anh !,1287,4
7,4,2019-09-24 00:59:00,2019-09-24 01:50:00,2019-09-24 10:46:00,2019-09-26 12:00:00,5858000,2,430,"East Berbice-Corentyne, Boa Vista, Menen",0984429047,phuongmai062@gmail.com,Trần Văn Đỏ,Giao nhanh nha anh !,1499,1
8,4,2019-01-18 13:02:00,2019-01-18 15:49:00,2019-01-19 04:30:00,2019-01-20 14:18:00,2836000,2,341,"Aube, Loroum, Zenica",0984429047,nhap@nhapre.com,Hồ Thị Thanh Nhàn,Giao nhanh nha anh !,1086,9
9,4,2018-11-09 01:04:00,2018-11-09 05:17:00,2018-11-09 19:11:00,2018-11-12 04:46:00,8218000,2,496,"Thị trấn An Dương, Huyện An Dương, Hải Phòng",0984429047,vnvananhnguyen91@gmail.com,Hoàng Thị Bảo Kim,Giao nhanh nha anh !,743,6
10,4,2019-02-14 17:01:00,2019-02-14 19:49:00,2019-02-15 05:08:00,2019-02-16 02:55:00,10000000,2,156,"Cantal, K_n_dougou, Encamp",0984429047,oanh.ltk@bhv.vn,Quảng Trọng Mãi,Giao nhanh nha anh !,1070,3
